2018-03-28 16:16:05	salemoche	http://localhost/okomo/en/http404/	PagePathHistory::getPage() - SQLSTATE[42S22]: Column not found: 1054 Unknown column 'language_id' in 'field list'
2018-03-28 20:46:16	salemoche	http://localhost/okomo/	Parse Error: 	syntax error, unexpected '" alt="' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ';' (line 7 of /Applications/MAMP/htdocs/site/templates/home.php)
2018-03-28 20:49:31	salemoche	http://localhost/okomo/	Parse Error: 	syntax error, unexpected '?>' (line 7 of /Applications/MAMP/htdocs/site/templates/home.php)
2018-03-28 21:03:16	salemoche	http://localhost/okomo/	Parse Error: 	syntax error, unexpected end of file (line 153 of /Applications/MAMP/htdocs/site/assets/cache/FileCompiler/site/templates/_main.php)
2018-03-28 21:03:19	salemoche	http://localhost/okomo/en/http404/	Parse Error: 	syntax error, unexpected end of file (line 153 of /Applications/MAMP/htdocs/site/assets/cache/FileCompiler/site/templates/_main.php)
2018-03-28 21:03:19	salemoche	http://localhost/okomo/en/http404/	Parse Error: 	syntax error, unexpected end of file (line 153 of /Applications/MAMP/htdocs/site/assets/cache/FileCompiler/site/templates/_main.php)
2018-03-28 21:03:19	salemoche	http://localhost/okomo/en/http404/	Parse Error: 	syntax error, unexpected end of file (line 153 of /Applications/MAMP/htdocs/site/assets/cache/FileCompiler/site/templates/_main.php)
2018-03-28 21:03:19	salemoche	http://localhost/okomo/en/http404/	Parse Error: 	syntax error, unexpected end of file (line 153 of /Applications/MAMP/htdocs/site/assets/cache/FileCompiler/site/templates/_main.php)
2018-03-28 21:03:20	salemoche	http://localhost/okomo/	Parse Error: 	syntax error, unexpected end of file (line 153 of /Applications/MAMP/htdocs/site/assets/cache/FileCompiler/site/templates/_main.php)
2018-03-28 21:03:24	salemoche	http://localhost/okomo/	Parse Error: 	syntax error, unexpected end of file (line 153 of /Applications/MAMP/htdocs/site/assets/cache/FileCompiler/site/templates/_main.php)
2018-03-28 21:04:01	salemoche	http://localhost/okomo/	Parse Error: 	syntax error, unexpected end of file (line 153 of /Applications/MAMP/htdocs/site/assets/cache/FileCompiler/site/templates/_main.php)
2018-03-28 21:21:48	salemoche	http://localhost/okomo/	Parse Error: 	syntax error, unexpected '?>' (line 57 of /Applications/MAMP/htdocs/site/templates/home.php)
